host,virus,evidence,P
Homo sapiens,Aotine betaherpesvirus 1,23.746032092381512,0.9999999999513336
Homo sapiens,Torque teno douroucouli virus,23.746032092381558,0.9999999999513336
Homo sapiens,Entebbe bat virus,23.959633420879424,0.9999999999606937
Homo sapiens,Canine parainfluenza virus,25.8615618258156,0.9999999999941322
Homo sapiens,Murid herpesvirus 5,26.734865345762035,0.9999999999975497
Homo sapiens,Canid alphaherpesvirus 1,27.16765935644081,0.9999999999984106
Homo sapiens,Betapapillomavirus 6,28.37512113739413,0.9999999999995248
Homo sapiens,Mamastrovirus 15,29.27899409784417,0.9999999999998075
Homo sapiens,Ippy mammarenavirus,30.128099433992833,0.9999999999999176
Homo sapiens,Acara orthobunyavirus,30.591910274534417,0.9999999999999483
Homo sapiens,Benevides orthobunyavirus,30.59191027453747,0.9999999999999483
Homo sapiens,San Perlita virus,34.09743703597039,0.9999999999999984
Homo sapiens,Sal Vieja virus,34.097437035970515,0.9999999999999984
Homo sapiens,Equid alphaherpesvirus 4,34.280808035515165,0.9999999999999987
Homo sapiens,Hepatitis GB virus B,34.342033069275814,0.9999999999999989
Homo sapiens,Mustelid gammaherpesvirus 1,34.59687430934367,0.9999999999999991
Homo sapiens,Mamastrovirus 18,34.69813219574592,0.9999999999999991
Homo sapiens,Visna-maedi virus,34.78759376901287,0.9999999999999991
Homo sapiens,Lloviu cuevavirus,35.16610472501493,0.9999999999999996
Homo sapiens,Yokose virus,35.166104725015025,0.9999999999999996
Homo sapiens,Mischivirus A,35.16610472501503,0.9999999999999996
Homo sapiens,West Caucasian bat lyssavirus,35.16610472501507,0.9999999999999996
Homo sapiens,Epizootic hemorrhagic disease virus,35.40451782115397,0.9999999999999996
Homo sapiens,Wad Medani virus,35.5912986756591,0.9999999999999996
Homo sapiens,Murid gammaherpesvirus 7,35.622208517184326,0.9999999999999996
Homo sapiens,Miniopterus bat coronavirus 1,36.43290179313832,0.9999999999999998
Homo sapiens,Latino mammarenavirus,36.46954391041104,0.9999999999999998
Homo sapiens,Torque teno zalophus virus 1,36.76885417949313,1.0
Homo sapiens,Pinniped bocaparvovirus 1,36.76885417949315,1.0
Homo sapiens,Dyonupapillomavirus 1,36.768854179493154,1.0
Homo sapiens,Pinniped dependoparvovirus 1,36.76885417949321,1.0
Homo sapiens,Pinniped bocaparvovirus 2,36.76885417949327,1.0
Homo sapiens,Mamastrovirus 4,36.7724691823266,1.0
Homo sapiens,Equid alphaherpesvirus 8,37.7888572868131,1.0
Homo sapiens,Murid betaherpesvirus 2,37.80494968219338,1.0
Homo sapiens,Pongine gammaherpesvirus 2,38.015784164587956,1.0
Homo sapiens,Isla Vista hantavirus,38.149367664048356,1.0
Homo sapiens,Warrego virus,38.22290590861402,1.0
Homo sapiens,Wallal virus,38.22290590861407,1.0
Homo sapiens,Phocine morbillivirus,38.31187720127828,1.0
Homo sapiens,Ife virus,38.59769407779739,1.0
Homo sapiens,Mobala mammarenavirus,39.83736860828913,1.0
Homo sapiens,Baboon orthoreovirus,40.122213950848014,1.0
Homo sapiens,Orthohepevirus C,41.76171227172112,1.0
Homo sapiens,Pirital mammarenavirus,42.41615547856057,1.0
Homo sapiens,Nariva narmovirus,42.696713522065615,1.0
Homo sapiens,Ectromelia virus,42.70926674409214,1.0
Homo sapiens,Macropodid alphaherpesvirus 2,43.42886878681975,1.0
Homo sapiens,Bat hepatitis virus,43.91834922267283,1.0
Homo sapiens,Vesicular stomatitis virus,45.015580637574395,1.0
Homo sapiens,Macaque simian foamy virus,45.4398937220674,1.0
Homo sapiens,Sapelovirus B,46.08553210066325,1.0
Homo sapiens,Macacine betaherpesvirus 3,46.085532100663535,1.0
Homo sapiens,Macropodid alphaherpesvirus 1,46.859083476668964,1.0
Homo sapiens,Orthohepevirus D,48.082889515460636,1.0
Homo sapiens,Murine mastadenovirus C,48.10497912410696,1.0
Homo sapiens,Chiropteran dependoparvovirus 1,48.30032211699498,1.0
Homo sapiens,Deltapapillomavirus 4,48.82149734925968,1.0
Homo sapiens,Khabarovsk orthohantavirus,50.598622680929296,1.0
Homo sapiens,Alphapapillomavirus 12,50.82442126502169,1.0
Homo sapiens,Bat mastadenovirus B,51.77771413466726,1.0
Homo sapiens,Cano Delgadito orthohantavirus,52.15769389548102,1.0
Homo sapiens,Fort Morgan virus,52.85427293495442,1.0
Homo sapiens,Bovine alphaherpesvirus 5,53.977698774522,1.0
Homo sapiens,Turlock orthobunyavirus,54.552768876864256,1.0
Homo sapiens,Cupixi mammarenavirus,55.2488777180344,1.0
Homo sapiens,Volepox virus,59.75681402805545,1.0
Homo sapiens,Mamastrovirus 11,60.211496207655905,1.0
Homo sapiens,Rabbit hemorrhagic disease virus,62.02439735353685,1.0
Homo sapiens,Alcelaphine gammaherpesvirus 1,65.90316689140123,1.0
Homo sapiens,Salem salemvirus,70.40645645247183,1.0
Homo sapiens,Equine mastadenovirus A,70.4144323494187,1.0
Homo sapiens,Dyoiotapapillomavirus 2,70.41588574386346,1.0
Homo sapiens,Equine mastadenovirus B,70.41588574386346,1.0
Homo sapiens,Erbovirus A,70.41588574386354,1.0
Homo sapiens,Equine foamy virus,70.41588574386361,1.0
Homo sapiens,Dyoiotapapillomavirus 1,70.41588574386364,1.0
Homo sapiens,Dyorhopapillomavirus 1,70.41588574386367,1.0
Homo sapiens,Peruvian horse sickness virus,70.4158857438637,1.0
Homo sapiens,Equid alphaherpesvirus 3,70.41588574386381,1.0
Homo sapiens,Zetapapillomavirus 1,70.41588574386387,1.0
Homo sapiens,Capim orthobunyavirus,70.51582668312204,1.0
Homo sapiens,Tibrogargan tibrovirus,73.40988939780436,1.0
Homo sapiens,Oliveros mammarenavirus,74.83849408925067,1.0
Homo sapiens,El Moro Canyon orthohantavirus,75.71522290037713,1.0
Homo sapiens,Main Drain orthobunyavirus,77.44260862708873,1.0
Homo sapiens,Phocid gammaherpesvirus 2,80.18394649182812,1.0
Homo sapiens,Mopeia mammarenavirus,81.00529209287099,1.0
Homo sapiens,Guajara orthobunyavirus,81.3632073968388,1.0
Homo sapiens,Qalyub orthonairovirus,82.90599827806038,1.0
Homo sapiens,Human T-lymphotropic virus 4,86.73209065213587,1.0
Homo sapiens,Gorilline gammaherpesvirus 1,86.73209065213595,1.0
Homo sapiens,Middelburg virus,90.69183141115693,1.0
Homo sapiens,Cocal vesiculovirus,95.56983677688693,1.0
Homo sapiens,Bovine alphaherpesvirus 1,101.02768082686292,1.0
Homo sapiens,Cabassou virus,104.105513373063,1.0
Homo sapiens,Equine torovirus,107.90440471952974,1.0
Homo sapiens,Serra do Navio mammarenavirus,114.34883901743856,1.0
Homo sapiens,Bluetongue virus,127.14519229822216,1.0
Homo sapiens,Enterovirus J,138.73508054756473,1.0
Homo sapiens,Murid gammaherpesvirus 4,146.263403609389,1.0
Homo sapiens,Ovine gammaherpesvirus 2,156.64832676380493,1.0
Homo sapiens,Issyk-Kul virus,169.49590448138937,1.0
Homo sapiens,Torque teno virus 2,182.42105661644968,1.0
Homo sapiens,Torque teno virus 23,187.39407212516087,1.0
Homo sapiens,Panine betaherpesvirus 2,187.39407212516096,1.0
Homo sapiens,Torque teno virus 4,187.39407212516124,1.0
Homo sapiens,Torque teno virus 14,187.3940721251613,1.0
Homo sapiens,Carnivore protoparvovirus 1,191.25577033134087,1.0
Homo sapiens,Phocid alphaherpesvirus 1,191.46527304731848,1.0
Homo sapiens,Panine gammaherpesvirus 1,201.97151365046355,1.0
Homo sapiens,Simian mastadenovirus A,242.85976743621532,1.0
Homo sapiens,Canine mastadenovirus A,275.6808326470782,1.0
