virus,evidence,P,paths,residuals,VirusClass,VirusOrder,VirusFamily,VirusGenus
Cupixi mammarenavirus,55.2488777180344,1.0,10,-1.5025161468503931,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus
Torque teno zalophus virus 1,36.76885417949313,1.0,6,-1.6271293824211002,,,Anelloviridae,Lambdatorquevirus
Pinniped bocaparvovirus 1,36.76885417949315,1.0,6,-1.6271293824211006,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus
Dyonupapillomavirus 1,36.768854179493154,1.0,6,-1.627129382421101,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Dyonupapillomavirus
Pinniped dependoparvovirus 1,36.76885417949321,1.0,6,-1.6271293824211024,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus
Pinniped bocaparvovirus 2,36.76885417949327,1.0,6,-1.6271293824211042,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus
Mamastrovirus 4,36.7724691823266,1.0,6,-1.6272226281483477,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus
Mount Elgon bat ledantevirus,5.664062510302286,0.9965435903674205,1,-1.644774058881019,Monjiviricetes,Mononegavirales,Rhabdoviridae,Ledantevirus
Isla Vista hantavirus,38.149367664048356,1.0,6,-1.6620879873552368,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus
Mamastrovirus 11,60.211496207655905,1.0,9,-1.6894592204601477,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus
Avian orthoreovirus,21.187794447607935,0.9999999993715687,3,-1.7974576142848184,Resentoviricetes,Reovirales,Reoviridae,Orthoreovirus
Volepox virus,59.75681402805545,1.0,8,-1.8000528137005851,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus
Bear Canyon mammarenavirus,14.878588007139307,0.9999996546088702,2,-1.8676379714104954,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus
Dyoetapapillomavirus 1,7.296801343015911,0.9993227559188217,1,-1.8850154443156732,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Dyoetapapillomavirus
Bokeloh bat lyssavirus,15.222400239635089,0.9999997550962314,2,-1.8893055906997103,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus
Mosavirus A,15.817185454367394,0.9999998648912178,2,-1.9256593352770954,Pisoniviricetes,Picornavirales,Picornaviridae,Mosavirus
Allpahuayo mammarenavirus,8.327872048243794,0.9997583726041315,1,-2.010375978530147,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus
