sp,step,count,score,phylodist
Castor canadensis,initial,2,0.09305993690851735,136.831520235
Castor fiber,initial,1,0.0024875621890547263,136.831520235
Castor fiber,initial,1,0.06951026856240126,136.831520235
Cavia porcellus,initial,7,0.01707317073170732,136.83151000402
Cavia porcellus,initial,7,0.19213973799126638,136.83151000402
Cebuella pygmaea,initial,2,0.004975124378109453,59.6787268429
Cebuella pygmaea,initial,2,0.09119496855345911,59.6787268429
Cebus capucinus,initial,1,0.0024875621890547263,59.67872741001
Cebus capucinus,initial,1,0.06070287539936102,59.67872741001
Cebus olivaceus,initial,1,0.0024875621890547263,59.67872776371
Cebus olivaceus,initial,1,0.0032258064516129032,59.67872776371
Cephalophus callipygus,initial,1,0.0024875621890547263,144.23939770221
Cephalophus callipygus,initial,1,0.00967741935483871,144.23939770221
Cephalophus dorsalis,initial,1,0.0024752475247524753,144.23939902021
Cephalophus dorsalis,initial,1,0.06230529595015576,144.23939902021
Cephalophus leucogaster,initial,1,0.0024752475247524753,144.23939803121
Cephalophus leucogaster,initial,1,0.06230529595015576,144.23939803121
Ceratotherium simum,initial,5,0.012224938875305624,144.23943141
Ceratotherium simum,initial,5,0.21036585365853658,144.23943141
Cercocebus agilis,initial,4,0.009925558312655087,42.58715555168
Cercocebus agilis,initial,4,0.15262321144674085,42.58715555168
Cercocebus atys,initial,5,0.012376237623762377,42.5871557288
Cercocebus atys,initial,5,0.17034700315457413,42.5871557288
Cercocebus chrysogaster,initial,2,0.004962779156327543,42.58715555168
Cercocebus chrysogaster,initial,2,0.1024,42.58715555168
Cercocebus galeritus,initial,1,0.0024813895781637717,42.587155729
Cercocebus galeritus,initial,1,0.088,42.587155729
Cercocebus torquatus,initial,3,0.007444168734491315,42.5871556583
Cercocebus torquatus,initial,3,0.14626391096979333,42.5871556583
Cercopithecus albogularis,initial,2,0.004962779156327543,
Cercopithecus albogularis,initial,2,0.12559618441971382,
Cercopithecus ascanius,initial,16,0.039603960396039604,42.587155658
Cercopithecus ascanius,initial,16,0.296998420221169,42.587155658
Cercopithecus campbelli,initial,1,0.0024875621890547263,42.5871557997
Cercopithecus campbelli,initial,1,0.0672,42.5871557997
Cercopithecus cephus,initial,3,0.007444168734491315,42.5871558001
Cercopithecus cephus,initial,3,0.14308426073131955,42.5871558001
Cercopithecus denti,initial,1,0.0024813895781637717,
Cercopithecus denti,initial,1,0.0688,
Cercopithecus diana,initial,2,0.004962779156327543,42.5871557987
Cercopithecus diana,initial,2,0.1305732484076433,42.5871557987
Cercopithecus erythrotis,initial,1,0.0024813895781637717,42.587155658
Cercopithecus erythrotis,initial,1,0.09904153354632587,42.587155658
Cercopithecus hamlyni,initial,2,0.004962779156327543,42.5871575694
Cercopithecus hamlyni,initial,2,0.11501597444089456,42.5871575694
Cercopithecus mitis,initial,4,0.009925558312655087,42.5871557997
Cercopithecus mitis,initial,4,0.15689381933438987,42.5871557997
Cercopithecus mona,initial,6,0.01488833746898263,42.5871561533
Cercopithecus mona,initial,6,0.1791277258566978,42.5871561533
Cercopithecus neglectus,initial,3,0.007444168734491315,42.5871557987
Cercopithecus neglectus,initial,3,0.15517241379310345,42.5871557987
Cercopithecus nictitans,initial,7,0.017369727047146403,42.5871557997
Cercopithecus nictitans,initial,7,0.1732283464566929,42.5871557997
Cercopithecus petaurista,initial,1,0.0024875621890547263,42.5871558
Cercopithecus petaurista,initial,1,0.03376205787781351,42.5871558
Cercopithecus pogonias,initial,4,0.009925558312655087,42.5871561533
Cercopithecus pogonias,initial,4,0.14467408585055644,42.5871561533
Cerdocyon thous,initial,2,0.0049382716049382715,144.2394193027
Cerdocyon thous,initial,2,0.08188976377952756,144.2394193027
Cervus elaphus,initial,21,0.049528301886792456,144.2393962188
Cervus elaphus,initial,21,0.2812071330589849,144.2393962188
Cervus nippon,initial,4,0.009779951100244499,144.2393962188
Cervus nippon,initial,4,0.1393939393939394,144.2393962188
Chaerephon plicatus,initial,3,0.007444168734491315,144.23942041726
Chaerephon plicatus,initial,3,0.08025682182985554,144.23942041726
Chaerephon pumilus,initial,3,0.007425742574257425,144.23941991206
Chaerephon pumilus,initial,3,0.17138364779874213,144.23941991206
Chaetodipus hispidus,initial,1,0.0024875621890547263,136.831529391
Chaetodipus hispidus,initial,1,0.012903225806451613,136.831529391
Chaetodipus spinatus,initial,1,0.0024875621890547263,136.8315292531
Chaetodipus spinatus,initial,1,0.025806451612903226,136.8315292531
Chaetophractus vellerosus,initial,1,0.0024875621890547263,151.4569728392
Chaetophractus vellerosus,initial,1,0.03054662379421222,151.4569728392
Chinchilla lanigera,initial,2,0.004975124378109453,136.8315105822
Chinchilla lanigera,initial,2,0.05929487179487179,136.8315105822
Chionomys roberti,initial,1,0.0024875621890547263,136.8315074375
Chionomys roberti,initial,1,0.04807692307692308,136.8315074375
Chironectes minimus,initial,1,0.0024875621890547263,324.1576054958
Chironectes minimus,initial,1,0.06070287539936102,324.1576054958
Chlorocebus aethiops,initial,21,0.05134474327628362,42.5871554813
Chlorocebus aethiops,initial,21,0.2589147286821705,42.5871554813
Chlorocebus pygerythrus,initial,11,0.02702702702702703,42.5871556579
Chlorocebus pygerythrus,initial,11,0.2043343653250774,42.5871556579
Chlorocebus sabaeus,initial,4,0.009876543209876543,42.5871557991
Chlorocebus sabaeus,initial,4,0.15348101265822786,42.5871557991
Chlorocebus tantalus,initial,1,0.0024813895781637717,42.58715551615
Chlorocebus tantalus,initial,1,0.10223642172523961,42.58715551615
Choeropsis liberiensis,initial,2,0.004975124378109453,144.2393953
Choeropsis liberiensis,initial,2,0.11930926216640503,144.2393953
Choloepus didactylus,initial,4,0.009950248756218905,151.456977464
Choloepus didactylus,initial,4,0.13787638668779714,151.456977464
Choloepus hoffmanni,initial,4,0.009950248756218905,151.456977464
Choloepus hoffmanni,initial,4,0.1619047619047619,151.456977464
Chrotogale owstoni,initial,1,0.0024875621890547263,144.2394186218
Chrotogale owstoni,initial,1,0.06656101426307448,144.2394186218
Chrotopterus auritus,initial,1,0.0024875621890547263,144.239390321
Chrotopterus auritus,initial,1,0.03376205787781351,144.239390321
Chrysocyon brachyurus,initial,2,0.0049382716049382715,144.239419666027
Chrysocyon brachyurus,initial,2,0.07874015748031496,144.239419666027
Civettictis civetta,initial,1,0.0024813895781637717,144.2394227489
Civettictis civetta,initial,1,0.033707865168539325,144.2394227489
Coendou bicolor,initial,1,0.0024875621890547263,136.8315084112
Coendou bicolor,initial,1,0.06070287539936102,136.8315084112
Coendou melanurus,initial,1,0.0024875621890547263,136.8315098314
Coendou melanurus,initial,1,0.02254428341384863,136.8315098314
Coendou mexicanus,initial,1,0.0024875621890547263,136.8315091338
Coendou mexicanus,initial,1,0.06602254428341385,136.8315091338
Coendou prehensilis,initial,1,0.0024875621890547263,136.8315084112
Coendou prehensilis,initial,1,0.02254428341384863,136.8315084112
Colobus guereza,initial,10,0.024752475247524754,42.5871552675
Colobus guereza,initial,10,0.26332288401253917,42.5871552675
Colobus polykomos,initial,2,0.004975124378109453,42.5871552675
Colobus polykomos,initial,2,0.0672,42.5871552675
Connochaetes gnou,initial,2,0.0049261083743842365,144.23939756991
Connochaetes gnou,initial,2,0.08385093167701864,144.23939756991
Connochaetes taurinus,initial,3,0.007263922518159807,144.23939756991
Connochaetes taurinus,initial,3,0.10248901903367497,144.23939756991
Corynorhinus townsendii,initial,1,0.0024875621890547263,144.2394216696
Corynorhinus townsendii,initial,1,0.03376205787781351,144.2394216696
Cricetomys emini,initial,1,0.0024875621890547263,136.83150385
Cricetomys emini,initial,1,0.03536977491961415,136.83150385
Cricetomys gambianus,initial,4,0.009876543209876543,136.83150385
Cricetomys gambianus,initial,4,0.17628705148205928,136.83150385
Cricetulus barabensis,initial,2,0.004975124378109453,136.831510137
Cricetulus barabensis,initial,2,0.07448494453248812,136.831510137
Crocidura lasiura,initial,1,0.0024875621890547263,144.23940276739
Crocidura lasiura,initial,1,0.03864734299516908,144.23940276739
