virus,host
Adeno-associated dependoparvovirus A,Ateles geoffroyi
Adeno-associated dependoparvovirus A,Atherurus africanus
Adeno-associated dependoparvovirus A,Babyrousa babyrussa
Adeno-associated dependoparvovirus A,Balaenoptera acutorostrata
Adeno-associated dependoparvovirus A,Bettongia gaimardi
Adeno-associated dependoparvovirus A,Bos taurus
Adeno-associated dependoparvovirus A,Bradypus tridactylus
Adeno-associated dependoparvovirus A,Bubalus bubalis
Adeno-associated dependoparvovirus A,Cacajao calvus
Adeno-associated dependoparvovirus A,Cacajao melanocephalus
Adeno-associated dependoparvovirus A,Callithrix geoffroyi
Adeno-associated dependoparvovirus A,Callithrix jacchus
Adeno-associated dependoparvovirus A,Callithrix penicillata
Adeno-associated dependoparvovirus A,Callorhinus ursinus
Adeno-associated dependoparvovirus A,Camelus bactrianus
Adeno-associated dependoparvovirus A,Camelus dromedarius
Adeno-associated dependoparvovirus A,Canis lupus
Adeno-associated dependoparvovirus A,Canis lupus familiaris
Adeno-associated dependoparvovirus A,Capra hircus
Adeno-associated dependoparvovirus A,Capreolus capreolus
Adeno-associated dependoparvovirus A,Ceratotherium simum
Adeno-associated dependoparvovirus A,Cercocebus agilis
Adeno-associated dependoparvovirus A,Cercocebus atys
Adeno-associated dependoparvovirus A,Cercocebus chrysogaster
Adeno-associated dependoparvovirus A,Cercocebus galeritus
Adeno-associated dependoparvovirus A,Cercocebus torquatus
Adeno-associated dependoparvovirus A,Cercopithecus albogularis
Adeno-associated dependoparvovirus A,Cercopithecus ascanius
Adeno-associated dependoparvovirus A,Cercopithecus campbelli
Adeno-associated dependoparvovirus A,Cercopithecus cephus
Adeno-associated dependoparvovirus A,Cercopithecus denti
Adeno-associated dependoparvovirus A,Cercopithecus diana
Adeno-associated dependoparvovirus A,Cercopithecus erythrotis
Adeno-associated dependoparvovirus A,Cercopithecus hamlyni
Adeno-associated dependoparvovirus A,Cercopithecus mitis
Adeno-associated dependoparvovirus A,Cercopithecus mona
Adeno-associated dependoparvovirus A,Cercopithecus neglectus
Adeno-associated dependoparvovirus A,Cercopithecus nictitans
Adeno-associated dependoparvovirus A,Cercopithecus petaurista
Adeno-associated dependoparvovirus A,Cercopithecus pogonias
Adeno-associated dependoparvovirus A,Cercopithecus wolfi
Adeno-associated dependoparvovirus A,Cervus elaphus
Adeno-associated dependoparvovirus A,Chaerephon pumilus
Adeno-associated dependoparvovirus A,Chinchilla lanigera
Adeno-associated dependoparvovirus A,Chlorocebus aethiops
Adeno-associated dependoparvovirus A,Chlorocebus pygerythrus
Adeno-associated dependoparvovirus A,Chlorocebus sabaeus
Adeno-associated dependoparvovirus A,Chlorocebus tantalus
Adeno-associated dependoparvovirus A,Choeropsis liberiensis
Adeno-associated dependoparvovirus A,Choloepus didactylus
Adeno-associated dependoparvovirus A,Chrotogale owstoni
Adeno-associated dependoparvovirus A,Colobus guereza
Adeno-associated dependoparvovirus A,Colobus polykomos
Adeno-associated dependoparvovirus A,Cricetomys emini
Adeno-associated dependoparvovirus A,Cricetomys gambianus
Adeno-associated dependoparvovirus A,Cyclopes didactylus
Adeno-associated dependoparvovirus A,Cynopterus sphinx
Adeno-associated dependoparvovirus A,Dasymys incomtus
Adeno-associated dependoparvovirus A,Dasyprocta leporina
Adeno-associated dependoparvovirus A,Delphinapterus leucas
Adeno-associated dependoparvovirus A,Diceros bicornis
Adeno-associated dependoparvovirus A,Didelphis marsupialis
Adeno-associated dependoparvovirus A,Eidolon helvum
Adeno-associated dependoparvovirus A,Eira barbara
Adeno-associated dependoparvovirus A,Elephas maximus
Adeno-associated dependoparvovirus A,Eonycteris spelaea
Adeno-associated dependoparvovirus A,Epomops franqueti
Adeno-associated dependoparvovirus A,Equus asinus
Adeno-associated dependoparvovirus A,Equus caballus
Adeno-associated dependoparvovirus A,Equus grevyi
Adeno-associated dependoparvovirus A,Equus hemionus
Adeno-associated dependoparvovirus A,Equus przewalskii
Adeno-associated dependoparvovirus A,Equus quagga
Adeno-associated dependoparvovirus A,Equus quagga burchellii
Adeno-associated dependoparvovirus A,Equus zebra
Adeno-associated dependoparvovirus A,Erythrocebus patas
Adeno-associated dependoparvovirus A,Eudorcas thomsonii
Adeno-associated dependoparvovirus A,Eulemur fulvus
Adeno-associated dependoparvovirus A,Euoticus elegantulus
Adeno-associated dependoparvovirus A,Felis catus
Adeno-associated dependoparvovirus A,Funisciurus anerythrus
Adeno-associated dependoparvovirus A,Funisciurus congicus
Adeno-associated dependoparvovirus A,Funisciurus lemniscatus
Adeno-associated dependoparvovirus A,Galago senegalensis
Adeno-associated dependoparvovirus A,Gerbilliscus brantsii
Adeno-associated dependoparvovirus A,Gerbilliscus leucogaster
Adeno-associated dependoparvovirus A,Giraffa camelopardalis
Adeno-associated dependoparvovirus A,Glauconycteris argentata
Adeno-associated dependoparvovirus A,Globicephala melas
Adeno-associated dependoparvovirus A,Gorilla beringei
Adeno-associated dependoparvovirus A,Gorilla gorilla
Adeno-associated dependoparvovirus A,Heliosciurus gambianus
Adeno-associated dependoparvovirus A,Heliosciurus rufobrachium
Adeno-associated dependoparvovirus A,Hemiechinus auritus
Adeno-associated dependoparvovirus A,Hipposideros abae
Adeno-associated dependoparvovirus A,Hipposideros armiger
Adeno-associated dependoparvovirus A,Hipposideros bicolor
Adeno-associated dependoparvovirus A,Hipposideros caffer
Adeno-associated dependoparvovirus A,Hipposideros cineraceus
Adeno-associated dependoparvovirus A,Hipposideros pomona
Adeno-associated dependoparvovirus A,Hipposideros speoris
Adeno-associated dependoparvovirus A,Homo sapiens
Adeno-associated dependoparvovirus A,Hydromys chrysogaster
Adeno-associated dependoparvovirus A,Hylobates lar
Adeno-associated dependoparvovirus A,Hylobates pileatus
Adeno-associated dependoparvovirus A,Hystrix africaeaustralis
Adeno-associated dependoparvovirus A,Isoodon obesulus
Adeno-associated dependoparvovirus A,Lama glama
Adeno-associated dependoparvovirus A,Leontocebus fuscicollis
Adeno-associated dependoparvovirus A,Leontopithecus chrysomelas
Adeno-associated dependoparvovirus A,Leontopithecus rosalia
Adeno-associated dependoparvovirus A,Lepus californicus
Adeno-associated dependoparvovirus A,Lepus capensis
Adeno-associated dependoparvovirus A,Lepus europaeus
Adeno-associated dependoparvovirus A,Lepus saxatilis
Adeno-associated dependoparvovirus A,Lophocebus albigena
Adeno-associated dependoparvovirus A,Lophocebus aterrimus
Adeno-associated dependoparvovirus A,Lophuromys sikapusi
Adeno-associated dependoparvovirus A,Loxodonta africana
Adeno-associated dependoparvovirus A,Lycaon pictus
Adeno-associated dependoparvovirus A,Lyroderma lyra
Adeno-associated dependoparvovirus A,Macaca arctoides
Adeno-associated dependoparvovirus A,Macaca cyclopis
Adeno-associated dependoparvovirus A,Macaca fascicularis
Adeno-associated dependoparvovirus A,Macaca fuscata
Adeno-associated dependoparvovirus A,Macaca maura
Adeno-associated dependoparvovirus A,Macaca mulatta
Adeno-associated dependoparvovirus A,Macaca nemestrina
Adeno-associated dependoparvovirus A,Macaca nigra
Adeno-associated dependoparvovirus A,Macaca nigrescens
Adeno-associated dependoparvovirus A,Macaca ochreata
Adeno-associated dependoparvovirus A,Macaca radiata
Adeno-associated dependoparvovirus A,Macaca silenus
Adeno-associated dependoparvovirus A,Macaca sinica
Adeno-associated dependoparvovirus A,Macaca sylvanus
Adeno-associated dependoparvovirus A,Macaca thibetana
Adeno-associated dependoparvovirus A,Macaca tonkeana
Adeno-associated dependoparvovirus A,Macropus agilis
Adeno-associated dependoparvovirus A,Macropus dorsalis
Adeno-associated dependoparvovirus A,Macropus fuliginosus
Adeno-associated dependoparvovirus A,Macropus giganteus
Adeno-associated dependoparvovirus A,Macropus parryi
Adeno-associated dependoparvovirus A,Macropus robustus
Adeno-associated dependoparvovirus A,Macropus rufogriseus
Adeno-associated dependoparvovirus A,Macropus rufus
Adeno-associated dependoparvovirus A,Mandrillus leucophaeus
Adeno-associated dependoparvovirus A,Mandrillus sphinx
Adeno-associated dependoparvovirus A,Marmota monax
Adeno-associated dependoparvovirus A,Mastomys erythroleucus
Adeno-associated dependoparvovirus A,Mastomys huberti
Adeno-associated dependoparvovirus A,Mastomys natalensis
Adeno-associated dependoparvovirus A,Meriones crassus
Adeno-associated dependoparvovirus A,Meriones hurrianae
Adeno-associated dependoparvovirus A,Mesocricetus auratus
Adeno-associated dependoparvovirus A,Micaelamys namaquensis
Adeno-associated dependoparvovirus A,Mico argentatus
Adeno-associated dependoparvovirus A,Mico humeralifer
Adeno-associated dependoparvovirus A,Mico leucippe
Adeno-associated dependoparvovirus A,Micropteropus pusillus
Adeno-associated dependoparvovirus A,Microtus oeconomus
Adeno-associated dependoparvovirus A,Millardia meltada
Adeno-associated dependoparvovirus A,Miniopterus schreibersii
