virus,rank,clover,trefle,clover_nohuman,trefle_nohuman
Adeno-associated dependoparvovirus B,6,0.03513987823421415,0.0006435250517897978,-3.7117827583955573e-16,0.01071892128982323
Adeno-associated dependoparvovirus B,7,-0.03398220852632408,-0.09214496514265694,-1.8168218141883556e-16,-0.07203307410057799
Adeno-associated dependoparvovirus B,8,-0.01083406933682858,0.04111662358336762,-4.384710584877532e-17,0.0296303939396789
Adeno-associated dependoparvovirus B,9,0.03565238088811163,-0.07480546791459397,-7.325171504894849e-16,-0.04572296732756007
Adeno-associated dependoparvovirus B,10,-0.004440756736626267,-0.23841621582500389,-1.9624839299556247e-16,0.17838002822160004
Adeno-associated dependoparvovirus B,11,-0.0027383396229671234,-0.18701978370747924,-6.082509146785242e-17,0.1866175775004123
Adeno-associated dependoparvovirus B,12,-0.01031918246271878,-0.14932444807785708,3.5253708687711054e-17,0.17958376825880754
African green monkey polyomavirus,1,0.11721569158439994,-0.1412866649297774,0.005710558557269673,-0.1337117414164203
African green monkey polyomavirus,2,-0.16117049402640354,0.3467599916047771,-0.013731464117311003,0.3415403880258434
African green monkey polyomavirus,3,-0.062256816369547836,0.06962645696490632,0.051944105401408314,0.07112929556652238
African green monkey polyomavirus,4,0.001631968952500521,-0.07378817773764809,0.029722716239431755,-0.07285631422473972
African green monkey polyomavirus,5,0.08830707989820816,-0.11845748105018584,-0.010961555979736217,-0.10501638057853445
African green monkey polyomavirus,6,0.042007597954969556,0.07979776829783679,-0.013540105904714711,0.08619401715109479
African green monkey polyomavirus,7,-0.016972659666823146,-0.07838544247440145,0.005215069117475808,-0.06422889439682843
African green monkey polyomavirus,8,-0.01423804784181013,0.0020212707089232377,0.0010489699526843648,-0.005088355046559908
African green monkey polyomavirus,9,0.031352621210917524,-0.13727043771576658,-0.0050529698591209905,-0.1209203976453294
African green monkey polyomavirus,10,0.0008776245457530873,-0.12234711559700968,0.0031490123082318897,0.08658872845027328
African green monkey polyomavirus,11,-0.0058691524795463,-0.1707287575039991,-0.009404340667706044,0.17230889939170324
African green monkey polyomavirus,12,-0.0015627823429019783,-0.09981606107565917,-0.0008894258021097927,0.12909931026121071
African green monkey simian foamy virus,1,0.00819091706791789,-0.1601509239273853,0.005710558557269809,-0.152835532079541
African green monkey simian foamy virus,2,-0.016292166637651883,0.456164326434764,-0.0137314641173101,0.4521353558174043
African green monkey simian foamy virus,3,-0.00454130551438963,0.1423097532785714,0.05194410540140858,0.1432209449875867
African green monkey simian foamy virus,4,0.05707646611219089,-0.1705555324544609,0.029722716239432623,-0.16990433171779715
African green monkey simian foamy virus,5,-0.01214675224666161,-0.08909888272765742,-0.010961555979736365,-0.08110455517645784
African green monkey simian foamy virus,6,0.006867719720756113,0.11236430489069135,-0.013540105904714016,0.11804723520661227
African green monkey simian foamy virus,7,0.017009548859500113,-0.08494866623739111,0.0052150691174750585,-0.07399022191331925
African green monkey simian foamy virus,8,-0.0034039785049807337,-0.0393295615872627,0.0010489699526840578,-0.043004540550473314
African green monkey simian foamy virus,9,-0.004299759677193451,-0.12094950949433315,-0.005052969859119979,-0.1128495929615792
African green monkey simian foamy virus,10,0.005318381282381084,-0.05003830843599936,0.0031490123082321586,0.0327470666972901
African green monkey simian foamy virus,11,-0.0031308128565786034,-0.1013943178355078,-0.009404340667705395,0.10471824378571437
African green monkey simian foamy virus,12,0.008756400119816316,-0.023986375813945325,-0.0008894258021098631,0.041300811567723326
African horse sickness virus,1,0.25756821954895204,-0.8365318271105803,0.3409320381170549,-0.8358538324887855
African horse sickness virus,2,0.24431473257687186,-0.502852201243005,0.029663334828568387,-0.4986551636412829
African horse sickness virus,3,0.07232289722504347,0.3868895640573338,-0.1022760074336593,0.38529766211857025
African horse sickness virus,4,0.037236810227042345,-0.296448096295998,0.11270073902444415,-0.2980622813855278
African horse sickness virus,5,0.14185422085837343,0.5334614085241112,0.18018354398901762,0.5450362932702418
African horse sickness virus,6,-0.14821656061754557,-0.6002298325298137,-0.063109785741885,-0.595354944703416
African horse sickness virus,7,0.04580155633301881,0.08285361558224431,-0.02141537819044727,0.07425957780793298
African horse sickness virus,8,0.016557038251336424,-0.2631690946017418,0.28171447887593565,-0.2762497681147855
African horse sickness virus,9,-0.3099667212666261,-0.859779334387174,0.5652572504703962,-0.8658318682407079
African horse sickness virus,10,-0.5564425220349399,0.1860038035500209,0.10960802562626498,-0.1110906642420712
African horse sickness virus,11,-0.10684624914317124,0.2048122752202819,0.11665490316427339,-0.2823249011939596
African horse sickness virus,12,-0.11283426850454756,-0.320049390199003,-0.03514891446280955,0.27313405577054684
African swine fever virus,1,0.0560165224331291,-0.37716696545629796,0.06990984136503411,-0.3804035806314594
African swine fever virus,2,0.03900543958048673,-0.15573821280920042,0.02517511484755174,-0.15227507457337308
African swine fever virus,3,-0.022266248538668966,0.4306972619418756,0.016303494387481823,0.43065584674648777
African swine fever virus,4,-0.015053089526810434,0.5044342149093303,-0.03860138616693558,0.5051961960787408
African swine fever virus,5,-0.02374500271841121,-0.2943108008175738,0.04570488020192845,-0.3079035892626922
African swine fever virus,6,-0.05309190881227983,0.29454387946281474,-0.05347024562829583,0.29013018796446705
African swine fever virus,7,0.06170553717408043,-0.08696470733778455,0.04272454295670861,-0.10607663640452204
African swine fever virus,8,-0.03816853074753052,-0.350093863933772,0.041578196215284684,-0.33385811643865376
African swine fever virus,9,-0.05215393193054023,0.26678067990644183,-0.22162765976536775,0.24277753100593727
African swine fever virus,10,0.22484878055491667,0.25999278309924334,-0.1393894917936828,-0.27564164184246515
African swine fever virus,11,0.14352969016288397,0.03694550105023041,0.15268349688817248,-0.13757155913455546
African swine fever virus,12,-0.1350455960165715,-0.25845107036264897,0.07734506410182437,0.2287360424716295
Aichivirus A,1,0.180084228263364,-0.5767486729335274,0.08835557072512701,-0.5732266528985832
Aichivirus A,2,-0.11267262420326776,-0.14831404899674375,-0.09492907122228608,-0.14814429423737424
Aichivirus A,3,0.0668472682967977,-0.03185409449662723,-0.06687029030024953,-0.033021385928968854
Aichivirus A,4,-0.041334588641951345,0.15380153178332726,0.055133272176679814,0.15223707405876968
Aichivirus A,5,0.16275795031086823,0.5896279215612401,0.07640923747419513,0.6142462114798292
Aichivirus A,6,-0.028927689522026186,-0.10422587325345893,0.08597067637629653,-0.08398850549095191
Aichivirus A,7,-0.1305471000397402,-0.0989751839986338,-0.05464271786423304,-0.05576764202426783
Aichivirus A,8,0.0351772639527306,-0.5620589929136666,0.018971885540074042,-0.5912124515036824
Aichivirus A,9,0.031314084819778897,-0.334301111172916,0.009515657060948837,-0.2602393967809283
Aichivirus A,10,-0.015787856630157342,-0.6750451000298703,0.058947588881757024,0.6619066703106615
Aichivirus A,11,-0.06365503493087613,-0.01742357442188783,-0.015613513403147258,0.16795105625198054
Aichivirus A,12,-0.0108665746967347,0.01745812496891777,-0.06423157013727965,0.03825253550617165
Aichivirus B,1,0.20284524013639788,-0.5387562978903968,0.2579349432387164,-0.5432891317754152
Aichivirus B,2,0.16364156467027394,-0.26293366039664245,0.1214508807378126,-0.25783070336413044
Aichivirus B,3,-0.10030703274153456,0.5021911111019038,0.049313827955236145,0.501074055341225
Aichivirus B,4,-0.06259849678984304,0.35570647857760557,-0.14318670121958346,0.3552536037572796
Aichivirus B,5,-0.08633030030112347,0.14286494264821825,0.18087629870543795,0.14584207921475084
Aichivirus B,6,-0.20916352991468584,0.42855854463230103,-0.23164232633957485,0.44472772754398776
Aichivirus B,7,0.2764937785107043,-0.23615992674763991,0.1039971321725169,-0.20071806912005033
Aichivirus B,8,-0.07479119985105362,0.37414469166157616,-0.1159207596242538,0.3797030270750753
Aichivirus B,9,0.07494774245868174,-0.006479485074279129,-0.13605586911034587,-0.022009677384739693
Aichivirus B,10,0.13862167903689712,0.07057431506054651,0.1493779521959771,-0.033255773688254504
Aichivirus B,11,-0.14751595216867824,-0.07232865112864889,-0.08992626238161007,0.20571755890400759
